tipo,oferente,programa,pais,institucion,area,modalidad,fecha_limite,estado
Pregrado,Saint Mary College of California,International Student Scholarships,Estados Unidos,Varias,Varias áreas,Presencial,2026-11-01,VIGENTE
Formación Maestría,"El Ministerio Holandés de Educación, Cultura y Ciencia","Beca Holanda – Holland Scholarship, 2023-2024",Holanda,Varias Universidades,Varias áreas,Presencial,Depende de la universidad,
Seminario,Fulbright Ecuador,Programa Fulbright de Excelencia en Enseñanza para Profesores de Secundaria,Estados Unidos,En una universidad anfitriona,"Inglés, Matemáticas, Ciencias, Ciencias sociales, Comunicación, Educación especial",Presencial,2026-02-18,
Maestría,The Faculty of Science of the University of Geneva,University of Geneva Excellence Masters Fellowships,Suiza,University of Geneva,Varias áreas,Presencial,2026-02-28,
Pregrado,Universidad de Carolina del Sur,University Scholarships and Assistantships,Estados Unidos,International Student Services,Varias áreas,Presencial,2026-10-15,
Maestria - Doctorado - Especialidad,International Cooperation and Development Fund - Taiwan - ICDF,Becas ICDF,Taiwán,Varias,Varias áreas,Presencial,2026-03-15,
Posgrado,Royal Society,Newton International Fellowships,Reino Unido,The Royal Society,Ciencia,Presencial,2026-03-11,
Formación,The Government of Canada,Emerging Leaders in the Americas Program,Canadá,Universidad de Canada,Varias áreas,Presencial,2025-03-18,
Maestría,University of the West of England Bristol,UWE Chancellor’s Scholarships for International Students,Reino Unido,University of the West of England Bristol,Varias áreas,Presencial,2026-06-30,
Pregrado,NUI Galway,NUI Galway International Student Scholarships 2024,Irlanda,Oficina Internacional,Varias áreas,Presencial,Junio o Agosto (Depende del programa),
Pregrado,Concordia University Ann Arbor,Ayuda financiera para Estudiantes Internacionales,Estados Unidos,Admisiones y ayuda,Varias áreas,Presencial,2026-05-01,
Maestría,Universidad de Birmingham,Becas de posgrado impartidas en Birmingham Business School,Reino Unido,Universidad de Birmingham,Tecnología Financiera,Presencial,2026-05-31,
Maestría,AUIP,Becas Internacionales,España,Universidad de Europa,Varias áreas,Presencial y Mixto,2026-06-30,
Pregrado,International Students,Global Ambassador Scholarship,Reino Unido,Aston University,Varias áreas,Presencial,2026-03-31,
Pregrado,MCI Entrepreneurial School,Beca de Pregrado en Diversas Áreas,Austria,MCI Entrepreneurial School,Varias áreas,Presencial,2026-03-30,
Pregrado,Ball State University,Financial Aid and Scholarships,Estados Unidos,Financial Aid and Scholarships,Varias áreas,Presencial,2026-06-01,
Pregrado,OFFICE OF INTERNATIONAL PROGRAMS,Undergraduate International Merit Scholarships,Estados Unidos,Universidad del Sur de Maine,Varias áreas,Presencial,2026-05-30,
Posgrado,The University of Queensland,Science International Scholarships,Australia,The University of Queensland,"Ciencias naturales, salud, agricultura.",Presencial,2026-07-30,
Maestría,MALAYSIA INTERNATIONAL,Malaysa International scholarship (MIS) 2024,Malaysa,Varias Universidades,"Educación, artes y humanidades, administración, ciencias naturales, matemáticas, ingeniería, ciencias de la salud.",Presencial,2025-06-26,
Postgrado,King Fahd University of Petroleum &Minerals,KFUPM GRADUATE STUDENTS,Arabia Saudí,King Fahd University of Petroleum &Minerals,Ing Quimica,Presencial,2024-06-29,
Maestría,GRUPO DE UNIVERSIDADES IBEROAMERICANAS LA RÁBIDA,Ayudas para cursar Másteres Universitarios de la UNIA,España,Universidad Internacional de Andalucía (UNIA),"Artes y Humanidades,Ciencias, Salud, Ciencias Sociales y Juridicas, Ingenieria y Arquitectura",Presencial,2025-06-11,
Pregrado/Posgrado,University of Plymouth,Postgraduate scholarships for international students,Reino Unido,University of Plymouth,Varias,Presencial,2025-06-30,
Maestría,Frankfurt School of Finance & Management,Programa de Becas de la Escuela de Frankfurt,Alemania,Escuela de Frankfurt,Varias áreas,Presencial,2026-05-31,
Formación,Universidad Internacional Isabel I de Castilla,Oferta de Becas Internacionales para Programas de Grado otorgados por la Universidad Internacional Isabel I de Castilla,Ecuador,Universidad Internacional Isabel I de Castilla,"Ciencias sociales y del comportamiento, Educación comercial y administración, Tecnología de la información y la comunicación TIC, Servicios de seguridad",En Línea / Semipresencial,2026-05-29,
Doctorado,Rosa Luxemburgo Stiftung,"Becas de Doctorado para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2024-2",Alemania,Varias,Varias áreas,Presencial,2026-10-01,
Maestría,Rosa Luxemburgo Stiftung,"Becas para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2024-2",Alemania,Varias,Varias áreas,Presencial,2026-10-01,
Postgrado,Universidad Nacional de Seúl (SNU),Beca Completa SNU en Corea del Sur Para Latinos 2025,Corea del Sur,Universidad Nacional de Seúl (SNU),Varias áreas,Presencial,2026-03-04,
Maestría / Dostorado,GIST,"Beca GIST para estudiantes internacionales en Corea del Sur, primavera 2024",Corea del Sur,Instituto de Ciencia y Tecnologia de Gwangjiu,"Ciencias naturales, exactas y de la computación. Ingeniería, manufactura y construcción",Presencial,2026-09-02,
Posdoctorado,Trent University,CAEL Scholarship,Canadá,Cael,Idiomas,Presencial,2026-01-20,
Pregrado,Canadian Mennonite University,Scholarships: Science Merit Awards,Canadá,Varias,Ciencia,Presencial,2026-02-28,
Formación,UNESCO y el Gobierno de la República Popular China,"Becas ""La Gran Muralla"" de la UNESCO y el Gobierno de China, 2024-2025",China,Universidades chinas,"Agronomía, Artes y Humanidades, Ciencias Naturales 
y Exactas, Salud,Computación, Administración,
Ingeniería, Manufactura y Construcción",Presencial,2026-01-23,
Maestría,Fundación Boustany y la Universidad de Harvard,Becas Boustany MBA Scholarship,Estados Unidos,Universidad de Harvard,Ciencias Sociales,Presencial,2027-05-31,
Pregrado/Posgrado,Universidad Metropolitana de Manchester,BECAS INTERNACIONALES DEL MANCHESTER METROPOLITAN,Reino Unido,Becas y financiación internacionales,Varias áreas,Presencial,2026-07-31,
Doctorado/Maestria,Gobierno de USA,Fulbright Foreign Student Program in USA,Estados Unidos,Varias,Varias áreas,Presencial,DEPENDE DE LA UNIVERSIDAD(entre feb y oct),
Pregrado,Universidad Leibniz de Hannover,Apoyo financiero para estudiantes internacionales,Alemania,Oficina internacional,Varias áreas,Presencial,"Enero, Marzo, Junio, Octubre",
Pregrado/Posgrado,International Office,Fees-and-scholarships,Irlanda,Dublin City University,Varias áreas,Presencial,2026-07-01,
Pregrado,Universidad de Palermo,Becas ERSU,Italia,ERSU,Varias,Presencial,2024-08-01,
Pregrado,Everett Community College,Scholarships for International Students,Estados Unidos,International Education,Varias áreas,Presencial,2026-02-28,
Maestría,OAS-Universidad Europea,Programa de Descuentos Académicos OEA-UE,España,European University,Varias áreas,Virtual,2026-03-31,
Pregrado/Posgrado,De Montfort University,DMU International Scholarship,Reino Unido,De Montfort University,"Ciencias puras y aplicadas, administración",Presencial,2024-08-23,
Doctorado,DAAD,Becas para Doctorado completo (3 a 4 años),Alemania,Oficina Regional del DAAD,Varias áreas,Presencial,2026-05-01,
Investigación,URA-member universities,URA Visiting Scholars Program,"Italia, Japón, USA y Reino Unido",URA-member universities,"Experimentos de física de alta energía, astrofísica, teoría, física de aceleradores, ciencia de materiales, informática, ingeniería e Investigaciòn y desarrollo de aceleradores relacionados con la misión Fermilab.",Presencial,2026-02-23,
Doctorado,DAAD,Postdoctoral Researchers International Mobility Experience (P.R.I.M.E.)(18 meses),Alemania,Oficina Regional del DAAD,Varias áreas,Presencial,2026-05-01,
Doctorado,DAAD,Becas para estancias de investigación ( 7 a 12 meses),Alemania,Oficina Regional del DAAD,Varias áreas,Presencial,2026-05-01,
Maestría,City University of London,Beca de Excelencia Internacional SHS (IES),Reino Unido,Facultad de Ciencias de la Salud.,Ciencias de la Salud,Presencial,2026-01-09,
Pregrado,Universidad de Sunshine Coast,Becas Start Online & Save (SOS),Australia,Becas para estudiantes internacionales,Varias áreas,Presencial,2026-05-31,
Pregrado,Universidad de Tulane,International Student Financial Aid,Estados Unidos,Universidad de Tulane,Varias áreas,Presencial,2026-02-15,
Pregrado,Instituto de Tecnología de Nueva Jersey,Elegibilidad para becas basadas en méritos,Estados Unidos,Eligibilidad,Varias áreas,Presencial,2026-03-01,
Formación,Fundación Botín,Becas Completas Fundación Botín 2024,Colombia/Brasil/España,"Universidad de los Andes, Colombia.
Madrid – Salamanca, España.
Rio de Janeiro, Brasil.",Varias áreas de estudio,Presencial,2024-07-31,
